연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
143,양천구,방아다리문학도서관,09:00,22:00,09:00~18:00,"서울특별시 양천구 화곡로4길 10, 2층 (신월동)",126.8271743,37.53858213,매주 일요일 및 법정공휴일
144,양천구,신월음악도서관,09:00,22:00,09:00~18:00,"서울특별시 양천구 오목로5길 34, 3~5층 (신월동)",126.8401341,37.5246218,매주 월요일 및 법정공휴일
145,양천구,영어특성화도서관,09:00,22:00,09:00~18:00,"서울특별시 양천구 목동동로 81, 7층 (신정동)",126.8638545,37.51597606,매주 일요일 및 법정공휴일
146,양천구,해맞이역사도서관,09:00,22:00,09:00~18:00,"서울특별시 양천구 지양로 37, 2~3층 (신월동)",126.8356122,37.5190658,매주 월요일 및 법정공휴일
147,양천구,양천중앙도서관,09:00,22:00,09:00~18:00,서울특별시 양천구 신정로7길 81 (신정동),126.8338175,37.51372539,매주 금요일 및 법정공휴일
148,영등포구,대림도서관,09:00,22:00,09:00~17:00,서울특별시 영등포구 도신로 27,126.896056,37.50429681,매주 월요일 및 법정공휴일
149,영등포구,문래도서관,09:00,22:00,09:00~17:00,서울특별시 영등포구 문래로20길 49,126.8908946,37.51685657,매주 월요일 및 법정공휴일
150,영등포구,선유도서관,09:00,22:00,09:00~17:00,서울특별시 영등포구 선유로43가길 10-8,126.8929389,37.53333254,매주 월요일 및 법정공휴일
151,영등포구,여의샛강도서관,09:00,20:00,09:00~17:00,서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동,126.9199166,37.52218032,매주 월요일 및 법정공휴일
152,영등포구,영등포생각공장도서관,09:00,20:00,09:00~17:00,서울특별시 영등포구 문래북로 105 영등포구어울림센터 지상1~3층,126.8971957,37.52012124,매주 월요일 및 법정공휴일
153,용산구,용산꿈나무도서관,09:00,21:00,09:00~17:00,"서울특별시 용산구 백범로329(원효로1가, 꿈나무타운) 3층",126.9650122,37.5389038,매주 월요일 및 법정 공휴일
154,용산구,청파도서관,09:00,21:00,09:00~17:00,서울특별시 용산구 청파로93길 27(서계동) 1층,126.9676043,37.55392527,매주 월요일 및 법정 공휴일
155,은평구,구산동도서관마을,09:00,22:00,09:00~18:00,서울특별시 은평구 연서로 13길 29-23,126.9130883,37.60950866,"매주 월요일, 법정공휴일"
156,은평구,내를건너서숲으로도서관,09:00,22:00,09:00~18:00,서울특별시 은평구 증산로17길 50,126.9080482,37.59169631,"매주 월요일, 법정공휴일"
157,은평구,구립상림도서관,09:00,18:00,09:00~18:00,서울특별시 은평구 진관4로 48-25 구립상림도서관,126.928943,37.64421689,"매주 월요일, 법정공휴일"
158,은평구,은평구립도서관,09:00,22:00,09:00~18:00 ,서울특별시 은평구 통일로78가길 13-84,126.9282719,37.61897852,"매주 월요일, 법정공휴일"
159,은평구,은평뉴타운도서관,09:00,22:00,09:00~18:00,서울특별시 은평구 진관2로 111-51,126.9331176,37.63723157,"매주 금요일, 법정공휴일"
160,은평구,응암정보도서관,09:00,18:00,09:00~18:00,"서울특별시 은평구 가좌로 179, 2층~3층",126.9206205,37.58705659,"매주 금요일, 법정공휴일"
