연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
84,동대문구,장안어린이도서관,10:00,18:00,10:00~18:00,서울특별시 동대문구 장한로26다길 10,127.073201,37.57124499,매주 금요일 및 법정 공휴일(일요일 제외)
85,동대문구,휘경행복도서관,09:00,22:00,09:00~18:00,서울특별시 동대문구 장안벚꽃로 323,127.069939,37.58717428,매주 금요일 및 법정 공휴일(일요일 제외)
86,동대문구,용두어린이영어도서관,10:00,18:00,10:00~18:00,서울특별시 동대문구 무학로 133,127.030319,37.57610826,매주 금요일 및 법정 공휴일(일요일 제외)
87,동대문구,제기동감초마을현진건기념도서관,09:00,18:00,09:00~18:00,서울특별시 동대문구 약령시로9길 45,127.0351202,37.58509731,매주 금요일 및 법정 공휴일(일요일 제외)
88,동작구,대방어린이도서관,09:00,18:00,09:00~17:00,서울특별시 동작구 대방동길55(대방동379-2),126.9252227,37.50302549,"매주 월요일, 법정공휴일"
89,동작구,동작영어마루도서관,09:00,18:00,09:00~17:00,서울특별시 동작구 장승배기로 16길 98(노량진 2동 225-161),126.9434315,37.50920443,"매주 월요일, 법정공휴일"
90,동작구,사당솔밭도서관,09:00,22:00,09:00~17:00,서울특별시 동작구 솔밭로 86(사당5동 708-1188),126.9673507,37.48408142,"매주 월요일, 법정공휴일"
91,동작구,약수도서관,09:00,18:00,09:00∼17:00,서울특별시 동작구 양녕로22바길 64(상도4동 211-77),126.9474555,37.49788488,"매주 월요일, 법정공휴일"
92,동작구,김영삼도서관,09:00,22:00,09:00~17:00,서울특별시 동작구 매봉로 1(상도1동 611),126.9499672,37.50547361,"매주 월요일, 법정공휴일"
93,동작구,까망돌도서관,09:00,21:00,09:00∼17:00,서울특별시 동작구 서달로 129(흑석동 340-1),126.960611,37.50512021,"매주 월요일, 법정공휴일"
94,동작구,신대방누리도서관,09:00,21:00,09:00∼17:00,서울특별시 동작구 신대방1다길 19(신대방동 686-78),126.9058854,37.48606517,"매주 월요일, 법정공휴일"
95,마포구,소금나루도서관,09:00,22:00,09:00~20:00,서울특별시 숭문길 72,126.9461167,37.54957866,"매주 금요일, 법정공휴일"
96,마포구,마포구립서강도서관,09:00,22:00,09:00~20:00,서울특별시 마포구 독막로 165,126.9320618,37.54773473,매주 화요일 및 법정공휴일
97,마포구,마포중앙도서관,09:00,22:00,09:00~20:00,서울특별시 마포구 성산로 128(성산동),126.9082019,37.56379544,매주 월요일 및 법정공휴일
98,마포구,마포푸르메어린이도서관,09:00,18:00,10:00~16:00,서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원 1층,126.8805203,37.58464743,매주 일요일 및 법정공휴일
99,서대문구,서대문구립이진아기념도서관,09:00,20:00,09:00~17:00,서울특별시 서대문구 독립문공원길 80,126.955549,37.57295426,매주 월요일 및 법정 공휴일
100,서대문구,홍은도담도서관,09:00,20:00,09:00~17:00,서울특별시 서대문구 홍은중앙로 129,126.9489544,37.60177255,매주 금요일 및 법정 공휴일
101,서초구,서초구립내곡도서관,09:00,22:00,09:00~18:00,서울특별시 서초구 청계산로7길 9-20,127.0544446,37.45200325,"매주 월요일, 법정 공휴일, 임시 공휴일"
102,서초구,방배도서관,09:00,21:00,09:00~18:00,서울특별시 서초구 방배로 40,126.9999966,37.47843876,"매주 월요일, 법정 공휴일, 임시 공휴일"
103,서초구,서이도서관,09:00,21:00,09:00~18:00,서울특별시 서초구 서초대로70길 51,127.0249478,37.49206947,"매주 월요일, 법정 공휴일, 임시 공휴일"
104,서초구,서초구립반포도서관,09:00,22:00,09:00~18:00,서울특별시 서초구 고무래로 34,127.0125134,37.50248707,"매주 월요일, 법정 공휴일, 임시 공휴일"
105,서초구,서초그림책도서관,09:00,21:00,09:00~18:00,서울특별시 서초구 명달로 150,127.0051025,37.49061326,"매주 월요일, 법정 공휴일, 임시 공휴일"
106,서초구,잠원도서관,09:00,21:00,09:00~18:00,서울특별시 서초구 나루터로 38,127.0139821,37.51496808,"매주 월요일, 법정 공휴일, 임시 공휴일"
107,서초구,서초구립양재도서관,09:00,22:00,09:00~20:00,서울특별시 서초구 양재천로 33,127.033606,37.47370134,"매주 금요일, 법정 공휴일, 임시 공휴일"
108,서초구,서초청소년도서관,10:00,22:00,09:00~20:00,서울특별시 서초구 효령로77길 37,127.028158,37.49229472,"매주 금요일, 법정 공휴일, 임시 공휴일"
109,서초구,서초구립방배숲환경도서관,09:00,22:00,09:00~18:00,서울특별시 서초구 서초대로 160-7,127.0000792,37.48899273,"매주 금요일, 법정 공휴일, 임시 공휴일"
110,성동구,성동구립금호도서관,07:00,22:00,09:00~20:00,서울특별시 성동구 난계로 20,127.0248936,37.55412873,매주 월요일 및 법정공휴일
111,성동구,성동구립도서관,07:00,23:00,,서울특별시 성동구 고산자로10길 9,127.0349607,37.55917988,매주 월요일 및 법정공휴일
112,성동구,성동구립무지개도서관,09:00,18:00,09:00~21:00,서울특별시 성동구 고산자로 270,127.036965,37.56342251,법정공휴일
113,성동구,성동구립성수도서관,08:00,22:00,09:00~20:00,서울특별시 성동구 뚝섬로1길 43,127.0469481,37.54542883,매주 월요일 및 법정공휴일
114,성동구,성동구립용답도서관,07:00,22:00,09:00~20:00,서울특별시 성동구 용답중앙3길 10,127.0513042,37.56669993,매주 월요일 및 법정공휴일
115,성동구,성동구립청계도서관,09:00,20:00,,서울특별시 성동구 마장로 141,127.0255294,37.56787474,매주 월요일 및 법정공휴일
116,성동구,성동구립숲속도서관,10:00,20:00,,서울특별시 성동구 매봉길 49-29,127.0108024,37.54589421,매주 월요일 및 법정공휴일
