순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
1072,무궁화경로당,서울특별시 관악구 난곡로26다길 17,서울특별시 관악구 신림동 646-7,노인시설,62,2023-11-15,09:00:00,18:00:00,126.9245169,37.4700094,2024,193322.7043,541178.2399,관악구
1073,법원경로당,서울특별시 관악구 법원단지25길 15,서울특별시 관악구 신림동 610-47,노인시설,47,2023-11-15,09:00:00,18:00:00,126.922893,37.4758019,2024,193179.5791,541821.2459,관악구
1074,우림경로당,서울특별시 관악구 난곡로24가길 19-4,서울특별시 관악구 신림동 638-62,노인시설,67,2023-11-15,09:00:00,18:00:00,126.921772,37.469943,2024,193079.882,541171.0685,관악구
1075,임광관악파크(아)경로당,서울특별시 관악구 난곡로 167,서울특별시 관악구 신림동 1727,노인시설,15,2023-11-15,09:00:00,18:00:00,126.919098,37.469585,2024,192843.3035,541131.5352,관악구
1076,중앙노인종합복지관,서울특별시 서초구 서초대로54길 45,서울특별시 서초구 서초동 1666-17,복지회관,21,2023-11-15,09:00:00,18:00:00,127.0168148,37.4923164,2024,201487.0085,543651.4769,서초구
1077,서초1동주민센터,서울특별시 서초구 사임당로 89,서울특별시 서초구 서초동 1649-5,주민센터,20,2023-11-15,09:00:00,18:00:00,127.0194644,37.4901924,2024,201721.3733,543415.7859,서초구
1078,서초1동 경로당,서울특별시 서초구 효령로68길 49-3,서울특별시 서초구 서초동 1436-6,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0225112,37.4854591,2024,201990.9488,542890.5121,서초구
1079,서초구청,서울특별시 서초구 남부순환로 2584,서울특별시 서초구 서초동 1376-3,기타,7,2023-11-15,09:00:00,18:00:00,127.0325611,37.4835926,2024,202879.8596,542683.6153,서초구
1080,서초2동 주민센터,서울특별시 서초구 서초대로70길 51,서울특별시 서초구 서초동 1332-6,주민센터,50,2023-11-15,09:00:00,18:00:00,127.0249668,37.4920686,2024,202207.9339,543624.1343,서초구
1081,서초2동 경로당,서울특별시 서초구 강남대로45길 17-2,서울특별시 서초구 서초동 1357-48,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0308886,37.4879554,2024,202731.7769,543167.7785,서초구
1082,하명달 경로당,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초동 1313-17,노인시설,15,2023-11-15,09:00:00,18:00:00,127.021056,37.4988545,2024,201861.9146,544377.1961,서초구
1083,서초3동 경로당,서울특별시 서초구 반포대로1길 53-3 ,서울특별시 서초구 서초동 1484-6,노인시설,15,2023-11-15,09:00:00,18:00:00,127.0108272,37.4828067,2024,200957.6194,542595.9479,서초구
1084,서초3동 주민센터,서울특별시 서초구 반포대로10길 10,서울특별시 서초구 서초동 1451-13,주민센터,30,2023-11-15,09:00:00,18:00:00,127.0119964,37.4837057,2024,201061.0175,542695.7375,서초구
1085,예술의마을 경로당,서울특별시 서초구 남부순환로323길 44-15,서울특별시 서초구 서초동 1455-4,노인시설,30,2022-11-15,09:00:00,18:00:00,127.0146709,37.483304,2024,201297.5696,542651.1876,서초구
1086,서초느티나무쉼터,서울특별시 서초구 반포대로1길 53-3,서울특별시 서초구 서초동 1484-6,노인시설,30,2023-11-15,09:00:00,18:00:00,127.010901,37.4828067,2024,200964.1467,542595.9487,서초구
1087,서초4동 주민센터,서울특별시 서초구 서운로26길 3,서울특별시 서초구 서초동 1302-6,주민센터,94,2023-11-15,09:00:00,18:00:00,127.0221672,37.5027214,2024,201960.0734,544806.3945,서초구
1088,명달 경로당,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초동 1313-17,노인시설,33,2023-11-15,09:00:00,18:00:00,127.0211248,37.4990563,2024,201867.9933,544399.5947,서초구
1089,장안마을 경로당,서울특별시 서초구 서초대로55길 13,서울특별시 서초구 서초동 1697-18,노인시설,43,2023-11-15,09:00:00,18:00:00,127.015329,37.495953,2024,201355.5468,544055.0695,서초구
